Target_Type,Model,CV_R2_Mean,CV_R2_Std,Test_R2,RMSE,MAE,CV_Time,Fit_Time,Total_Time
Original Target,Linear Regression,-0.0010463420360342646,0.00033945428442970136,-0.0009828375911344889,0.2802083525550375,0.22429449903433815,0.10921812057495117,0.0163419246673584,0.13886785507202148
Original Target,Ridge Regression,-0.0010445082709999258,0.00033809591492824076,-0.000981909045326912,0.2802082225895967,0.22429439200041032,0.03645682334899902,0.007569074630737305,0.050184011459350586
Original Target,Lasso Regression,-0.0002098720369258326,0.00014842572444526229,-1.3589255518642318e-05,0.28007265729320685,0.2242195956218537,0.037901878356933594,0.011504888534545898,0.05342984199523926
Original Target,Elastic Net,-0.0002009922225894393,0.00016098034265770591,-1.3589255518642318e-05,0.28007265729320685,0.2242195956218537,0.03632497787475586,0.00826120376586914,0.04927492141723633
Original Target,Random Forest,-0.05845383670355934,0.005347752313182859,-0.051246370103519734,0.2871574021421902,0.23500112138908583,47.78687286376953,27.368427991867065,75.28501677513123
Original Target,Gradient Boosting,-0.0020008440830632246,0.0011542305705209148,-0.00032302483113699765,0.28011598557480133,0.2241709988626696,20.434908151626587,10.534111022949219,30.99067783355713
Transformed Target,Linear Regression,-0.001037915804763016,0.0004239160998070304,-0.0014008492192190136,5.080645976903345,4.522852885070146,0.06295013427734375,0.01600480079650879,0.08876705169677734
Transformed Target,Ridge Regression,-0.0010355683163463247,0.00042159984414857416,-0.0013994267268118143,5.080642368366915,4.522849840195394,0.060919761657714844,0.007422924041748047,0.07210803031921387
Transformed Target,Lasso Regression,-0.0001348956023522844,5.2425153669515643e-05,-0.0005441980055098661,5.078472385403985,4.521648238819314,0.09780287742614746,0.026723861694335938,0.13130712509155273
Transformed Target,Elastic Net,-0.0003574951419463475,4.3938074093119415e-05,-0.0007668513899550256,5.079037415997929,4.521761220382061,0.17122673988342285,0.02736496925354004,0.2054741382598877
Transformed Target,Random Forest,-0.03705858913762331,0.0013464197219185832,-0.03571614535286338,5.166962736751164,4.599742594997603,46.056236743927,23.308856964111328,69.67088103294373
Transformed Target,Gradient Boosting,-0.002524240216995081,0.0009736891882658306,-0.0022800650995005167,5.082875855463572,4.524133504121252,18.818854093551636,9.59860372543335,28.434890031814575
