feature,importance,importance_percentage,cumulative_importance,cumulative_percentage
disruption_likelihood_score,0.9963644465013417,99.63644465013417,0.9963644465013417,99.63644465013417
historical_demand,0.0007660764524751262,0.07660764524751262,0.9971305229538169,99.71305229538169
is_weekend,0.0005105179777056027,0.05105179777056027,0.9976410409315225,99.76410409315226
month,0.0003590411048389816,0.03590411048389816,0.9980000820363615,99.80000820363615
quarter,0.00018916954336746963,0.018916954336746963,0.9981892515797289,99.8189251579729
fuel_consumption_rate,0.00018121884448565908,0.018121884448565908,0.9983704704242146,99.83704704242146
warehouse_inventory_level,0.00015547908777695143,0.015547908777695144,0.9985259495119915,99.85259495119915
day_of_week,0.00014555287350548536,0.014555287350548535,0.998671502385497,99.8671502385497
shipping_costs,0.00011402667045327429,0.01140266704532743,0.9987855290559502,99.87855290559501
hour,0.00011357490730772817,0.011357490730772817,0.9988991039632579,99.88991039632579
route_risk_level,0.00011086131221204488,0.011086131221204488,0.9990099652754699,99.900996527547
weather_condition_severity,9.487717591476322e-05,0.009487717591476322,0.9991048424513846,99.91048424513846
order_fulfillment_status,8.142242366554432e-05,0.008142242366554432,0.9991862648750501,99.91862648750501
cargo_condition_status,7.574394611743903e-05,0.007574394611743903,0.9992620088211676,99.92620088211676
delay_probability,7.300187394834146e-05,0.007300187394834146,0.9993350106951159,99.93350106951159
loading_unloading_time,7.043362813855003e-05,0.0070433628138550025,0.9994054443232544,99.94054443232544
supplier_reliability_score,6.677786448833435e-05,0.0066777864488334355,0.9994722221877428,99.94722221877427
iot_temperature,6.60173737202897e-05,0.00660173737202897,0.999538239561463,99.95382395614631
delivery_time_deviation,6.354624628467986e-05,0.006354624628467986,0.9996017858077477,99.96017858077477
traffic_congestion_level,5.46105873662524e-05,0.0054610587366252395,0.9996563963951139,99.9656396395114
port_congestion_level,5.204150734630898e-05,0.005204150734630898,0.9997084379024602,99.97084379024602
customs_clearance_time,5.159764888185709e-05,0.005159764888185709,0.9997600355513421,99.97600355513421
vehicle_gps_latitude,4.967812383543183e-05,0.004967812383543184,0.9998097136751775,99.98097136751774
lead_time_days,4.6871542371143507e-05,0.0046871542371143505,0.9998565852175486,99.98565852175486
vehicle_gps_longitude,4.66197300705306e-05,0.00466197300705306,0.9999032049476192,99.99032049476192
eta_variation_hours,2.7571402088162246e-05,0.0027571402088162247,0.9999307763497074,99.99307763497075
fatigue_monitoring_score,2.6813156848086672e-05,0.0026813156848086673,0.9999575895065554,99.99575895065554
handling_equipment_availability,2.596772561967909e-05,0.002596772561967909,0.9999835572321751,99.99835572321751
driver_behavior_score,1.6442767824733413e-05,0.0016442767824733414,0.9999999999999999,99.99999999999999
