feature,coefficient
warehouse_inventory_level,-0.0031280251944475574
weather_condition_severity,-0.003022675858213401
fatigue_monitoring_score,0.0026887102424971786
order_fulfillment_status,-0.002364538848568273
delay_probability,-0.002278886716213658
port_congestion_level,0.0020988041457399536
route_risk_level,0.00202212098831619
cargo_condition_status,0.0019469193249070267
iot_temperature,-0.001938308251280615
vehicle_gps_latitude,-0.0018791497954380946
driver_behavior_score,0.0016777683744216565
loading_unloading_time,0.001653403572325863
eta_variation_hours,0.0014192244045037922
customs_clearance_time,-0.0011447622046793617
traffic_congestion_level,0.0011376463039854021
supplier_reliability_score,-0.0009990901421236733
shipping_costs,0.0007805406416299979
historical_demand,0.0007687476468596494
lead_time_days,0.0007400595711767946
vehicle_gps_longitude,0.0005227277925722531
